Index,Load
1,41.41737437
2,35.30047311
3,33.68727321
4,34.05248798
5,37.86371269
6,51.66769449
7,75.16036751
8,84.38106478
9,86.53277291
10,87.86870352
11,83.09944941
12,83.28471874
13,75.93701528
14,76.25517111
15,70.22448602
16,70.44732186
17,71.12072877
18,82.57838488
19,98.99858925
20,99.34795652
21,93.31264152
22,82.64682964
23,71.50465332
24,52.22391036
25,41.02789937
26,36.66276018
27,31.97286116
28,31.65534286
29,32.47168785
30,35.79101189
31,44.45818999
32,54.97893994
33,65.00575593
34,71.44563718
35,67.67290579
36,66.89767514
37,59.68190124
38,51.59620349
39,48.96569078
40,45.21826112
41,50.68109727
42,62.32455861
43,80.31964535
44,74.54410186
45,67.33961951
46,63.91877552
47,49.36976705
48,41.27672757
49,27.67326003
50,24.66453895
51,20.79495645
52,18.71283748
53,21.91724335
54,25.02917999
55,30.17807599
56,37.1031207
57,49.46899602
58,57.31123057
59,57.63430774
60,60.98558008
61,56.11396192
62,50.9287388
63,49.91156871
64,48.21511708
65,50.55147987
66,67.50323252
67,88.84400525
68,85.24339765
69,80.9909871
70,65.33852907
71,50.89461002
72,34.4233703
73,19.37916715
74,14.24246687
75,12.9643981
76,13.28108917
77,18.49384447
78,29.3509921
79,54.9722615
80,68.71102076
81,66.69277809
82,61.06677856
83,67.02149454
84,57.89330437
85,63.56215101
86,59.75876292
87,57.06954641
88,56.28551282
89,61.47185952
90,78.95739394
91,93.74266491
92,88.14723337
93,82.33621584
94,67.45032401
95,49.61177741
96,32.427433
97,15.95283674
98,14.15363568
99,-1.875135971
100,7.628524891
101,10.01190554
102,24.01443758
103,53.15565318
104,65.26532403
105,70.03803861
106,71.86313468
107,67.68130848
108,62.91982975
109,63.0982403
110,58.45325887
111,57.02167072
112,61.1697585
113,63.01452085
114,74.65192294
115,92.69921409
116,87.88805832
117,82.93901892
118,67.83071354
119,45.87121256
120,26.52381504
121,16.63236704
122,11.7642408
123,7.142879283
124,5.784678805
125,12.46244147
126,22.50889009
127,47.60773789
128,60.61043807
129,63.90045224
130,65.27809872
131,63.18649456
132,60.2007381
133,57.48652231
134,56.2937534
135,54.30483242
136,57.40837045
137,61.64110652
138,72.30782485
139,87.48160057
140,87.01748379
141,81.34587565
142,66.56476446
143,50.3170556
144,27.4713794
145,17.94189314
146,11.65514584
147,8.151337671
148,9.792035638
149,11.61972038
150,25.02049059
151,52.46831616
152,65.04139833
153,72.37966446
154,72.60179056
155,72.37108065
156,71.21689976
157,67.11733158
158,70.27667686
159,66.95915734
160,64.3932976
161,71.08699818
162,80.12144214
163,96.90912705
164,92.97013824
165,85.63517652
166,72.80458141
167,54.52062342
168,32.52873885
